iter	Passed	Remaining
0	1	166
1	3	162
2	4	157
3	6	166
4	8	162
5	9	154
6	10	142
7	12	140
8	13	140
9	15	138
10	16	135
11	18	132
12	19	129
13	20	122
14	21	121
15	23	121
16	24	120
17	26	118
18	26	113
19	27	111
20	29	110
21	30	108
22	31	106
23	33	105
24	33	101
25	34	98
26	36	97
27	37	96
28	38	94
29	40	93
30	41	91
31	42	90
32	43	88
33	44	87
34	45	85
35	46	83
36	47	81
37	48	78
38	49	76
39	49	74
40	51	73
41	52	71
42	53	70
43	54	69
44	55	67
45	56	66
46	57	65
47	58	63
48	59	61
49	60	60
50	61	58
51	61	57
52	62	55
53	63	54
54	64	52
55	66	51
56	66	50
57	68	49
58	68	47
59	69	46
60	70	44
61	70	43
62	71	42
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	77	33
70	78	32
71	79	30
72	80	29
73	80	28
74	81	27
75	81	25
76	82	24
77	83	23
78	83	22
79	84	21
80	85	19
81	86	18
82	87	17
83	87	16
84	88	15
85	88	14
86	89	13
87	90	12
88	90	11
89	91	10
90	92	9
91	92	8
92	93	7
93	94	6
94	94	4
95	95	3
96	95	2
97	96	1
98	96	0
99	97	0
